iter	Logloss
0	0.6754762974
1	0.6580040982
2	0.6453384
3	0.6317684918
4	0.619503127
5	0.6073806835
6	0.5969209622
7	0.5883706938
8	0.579533044
9	0.5710647558
10	0.5646619404
11	0.557555659
12	0.5531432529
13	0.547899868
14	0.5427915584
15	0.5379987944
16	0.5337287298
17	0.5296469932
18	0.5259625457
19	0.5228359002
20	0.5192028559
21	0.5160984393
22	0.5132933194
23	0.5105506848
24	0.5077718209
25	0.5048815088
26	0.5032313095
27	0.501457442
28	0.4990956061
29	0.4977247246
30	0.4962697649
31	0.4947015847
32	0.4935403684
33	0.4924122257
34	0.49142847
35	0.4897619346
36	0.4883439264
37	0.48793419
38	0.4865061071
39	0.4853282853
40	0.4846840522
41	0.4841580913
42	0.482786475
43	0.4818069564
44	0.4808885814
45	0.4806920537
46	0.480072437
47	0.4795581531
48	0.4785930195
49	0.4780468548
50	0.4773401566
51	0.4766452048
52	0.4762077467
53	0.4757068564
54	0.4751841153
55	0.4744190034
56	0.4741737638
57	0.4736899186
58	0.4733200934
59	0.4727892605
60	0.4723122527
61	0.4722150109
62	0.4718103512
63	0.4716916926
64	0.4714877595
65	0.4713274499
66	0.4708750349
67	0.4705182387
68	0.4704525342
69	0.470019077
70	0.4698347267
71	0.46943622
72	0.4693009343
73	0.4692500001
74	0.468876829
75	0.4684504692
76	0.4681860461
77	0.4672587295
78	0.4668075624
79	0.4664052837
80	0.4663089803
81	0.4660350898
82	0.4656311613
83	0.4652425105
84	0.4643967596
85	0.4638956486
86	0.4638171187
87	0.4634216738
88	0.4634216382
89	0.4627423231
90	0.4626654533
91	0.4618422209
92	0.4615136647
93	0.4613231136
94	0.4613230548
95	0.4612092962
96	0.4608951325
97	0.4603370393
98	0.4602873256
99	0.459604522
100	0.4593823154
101	0.4591418617
102	0.4591418613
103	0.459135344
104	0.4589801991
105	0.4589564529
106	0.4586663341
107	0.4581684619
108	0.4578186958
109	0.4577183189
110	0.4574635047
111	0.4570687796
112	0.4567585311
113	0.4566991482
114	0.4566000238
115	0.456365007
116	0.4563636945
117	0.4560712409
118	0.4559497992
119	0.4558512
120	0.4555123702
121	0.4553416183
122	0.4553254974
123	0.4552371173
124	0.4550453338
125	0.4549020142
126	0.4545106131
127	0.4541426578
128	0.4538947163
129	0.453535975
130	0.4533606746
131	0.4529356914
132	0.4528659862
133	0.4526524098
134	0.452652408
135	0.4521610347
136	0.4517281852
137	0.4513823965
138	0.4513383957
139	0.4509741954
140	0.4508585707
141	0.4505036376
142	0.450498839
