iter	Passed	Remaining
401	16246	24168
402	16276	24111
403	16308	24058
404	16335	23998
405	16364	23941
406	16396	23889
407	16424	23831
408	16458	23782
409	16487	23726
410	16518	23673
411	16539	23604
412	16569	23549
413	16601	23499
414	16639	23455
415	16669	23401
416	16702	23351
417	16731	23295
418	16760	23240
419	16793	23190
420	16821	23134
421	16852	23082
422	16883	23030
423	16914	22978
424	16942	22922
425	16974	22871
426	17003	22816
427	17035	22766
428	17064	22712
429	17107	22677
430	17138	22625
431	17167	22571
432	17195	22516
433	17223	22462
434	17250	22405
435	17277	22350
436	17307	22298
437	17335	22242
438	17364	22190
439	17394	22138
440	17422	22083
441	17453	22033
442	17481	21980
443	17513	21931
444	17544	21881
445	17578	21834
446	17609	21784
447	17641	21736
448	17668	21682
449	17701	21634
450	17728	21580
451	17757	21528
452	17788	21479
453	17820	21431
454	17849	21380
455	17878	21328
456	17910	21280
457	17939	21229
458	17969	21179
459	17999	21130
460	18029	21080
461	18059	21030
462	18089	20980
463	18121	20932
464	18151	20883
465	18181	20834
466	18210	20784
467	18240	20735
468	18270	20685
469	18300	20636
470	18329	20587
471	18358	20536
472	18392	20492
473	18422	20443
474	18455	20398
475	18484	20348
476	18532	20319
477	18564	20273
478	18596	20227
479	18624	20176
480	18657	20131
481	18687	20083
482	18724	20042
483	18772	20013
484	18804	19967
485	18835	19920
486	18864	19871
487	18893	19822
488	18922	19773
489	18953	19726
490	18980	19676
491	19026	19644
492	19073	19614
493	19115	19579
494	19155	19542
495	19191	19501
496	19226	19458
497	19263	19417
498	19299	19376
499	19332	19332
500	19367	19290
501	19395	19241
502	19427	19196
503	19457	19148
504	19487	19101
505	19515	19052
506	19546	19006
507	19575	18959
508	19603	18910
509	19635	18865
510	19662	18815
511	19692	18769
512	19722	18723
513	19753	18677
514	19785	18633
515	19816	18587
516	19846	18541
517	19876	18495
518	19907	18450
519	19938	18404
520	19968	18358
521	19997	18311
522	20027	18266
523	20058	18221
524	20095	18181
525	20129	18139
526	20158	18092
527	20186	18045
528	20216	17999
529	20245	17953
530	20281	17913
531	20310	17867
532	20340	17821
533	20370	17776
534	20400	17731
535	20429	17685
536	20458	17639
537	20490	17595
538	20519	17550
539	20558	17512
540	20591	17470
541	20621	17425
542	20651	17381
543	20680	17334
544	20711	17291
545	20741	17246
546	20769	17199
547	20814	17168
548	20842	17122
549	20871	17076
550	20902	17033
551	20940	16995
552	20969	16950
553	21001	16907
554	21032	16863
555	21064	16821
556	21094	16777
557	21126	16734
558	21156	16690
559	21187	16647
560	21217	16603
561	21248	16559
562	21277	16515
563	21312	16475
564	21342	16432
565	21373	16389
566	21403	16345
567	21432	16300
568	21462	16257
569	21492	16213
570	21524	16171
571	21553	16127
572	21591	16090
573	21627	16051
574	21671	16018
575	21705	15977
576	21735	15934
577	21765	15890
578	21797	15849
579	21828	15806
580	21858	15763
581	21888	15720
582	21920	15679
583	21950	15635
584	21981	15593
585	22010	15550
586	22041	15507
587	22071	15464
588	22106	15425
589	22144	15388
590	22176	15347
591	22222	15315
592	22264	15281
593	22297	15240
594	22325	15196
595	22357	15155
596	22384	15110
597	22416	15069
598	22447	15027
599	22479	14986
600	22508	14942
601	22539	14901
602	22568	14858
603	22598	14816
604	22629	14774
605	22659	14732
606	22690	14691
607	22719	14648
608	22751	14607
609	22781	14565
610	22815	14525
611	22846	14484
612	22876	14442
613	22907	14400
614	22938	14359
615	22968	14317
616	23001	14278
617	23030	14235
618	23066	14197
619	23097	14156
620	23128	14115
621	23161	14075
622	23190	14033
623	23221	13992
624	23255	13953
625	23289	13913
626	23323	13875
627	23357	13835
628	23386	13793
629	23417	13753
630	23444	13710
631	23474	13668
632	23504	13627
633	23536	13587
634	23569	13547
635	23600	13507
636	23633	13467
637	23667	13429
638	23704	13391
639	23752	13360
640	23789	13323
641	23821	13283
642	23852	13243
643	23880	13201
644	23911	13160
645	23940	13119
646	23973	13079
647	24007	13041
648	24037	13000
649	24066	12958
650	24101	12920
651	24130	12879
652	24164	12841
653	24192	12799
654	24224	12759
655	24252	12717
656	24285	12678
657	24318	12639
658	24351	12600
659	24380	12559
660	24411	12519
661	24447	12482
662	24482	12444
663	24512	12404
664	24542	12363
665	24571	12322
666	24602	12282
667	24632	12242
668	24663	12202
669	24697	12164
670	24728	12124
671	24759	12084
672	24789	12044
673	24822	12006
674	24852	11966
675	24887	11928
676	24917	11888
677	24948	11848
678	24977	11808
679	25008	11768
680	25053	11735
681	25083	11695
682	25114	11656
683	25144	11616
684	25182	11580
685	25212	11540
686	25243	11501
687	25273	11461
688	25303	11421
689	25332	11381
690	25363	11342
691	25396	11303
